"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,3,1,2,1,3,1,6
0,0,1,5,2,0,1,3,3,3
0,0,0,1,1,1,3,2,1,3
0,0,0,0,0,3,1,2,2,5
0,0,0,1,1,3,0,4,2,6
0,0,0,1,0,0,2,3,3,8
1,0,2,3,0,1,1,5,7,16
0,0,1,0,0,1,0,2,5,11
0,0,1,1,0,2,3,1,4,5
0,0,0,2,1,0,2,3,4,8
2,0,1,2,2,2,3,4,3,3
0,0,0,1,0,1,0,2,1,4
0,0,0,1,2,1,0,1,1,4
0,0,0,1,1,2,1,2,1,5
1,0,0,2,0,2,1,4,5,7
0,0,0,1,0,1,2,2,3,7
0,0,0,0,2,3,2,5,5,5
0,0,0,1,1,1,2,2,5,4
0,1,0,1,0,3,5,3,2,5
0,0,0,2,0,2,3,1,4,7
0,0,0,2,1,1,2,2,2,5
0,0,0,1,1,1,1,3,4,6
0,0,1,0,2,0,2,4,7,4
1,0,0,1,0,1,1,2,4,4
1,0,2,0,3,1,0,6,2,4
0,0,0,2,2,1,4,3,4,7
1,0,0,2,3,3,6,2,7,3
0,0,0,2,0,1,4,3,3,8
0,0,0,3,2,0,2,3,6,12
0,0,0,2,3,2,1,2,3,4
0,0,1,1,2,3,0,3,5,5
0,0,0,2,1,0,4,4,7,10
0,0,0,2,2,3,4,8,10,9
0,0,0,6,3,3,2,4,10,11
0,0,0,2,1,2,1,9,4,6
1,0,0,3,0,3,3,4,8,14
0,0,0,1,2,2,5,7,5,10
0,0,0,1,1,3,5,7,4,15
0,0,0,0,2,3,2,4,8,17
1,1,1,3,3,1,6,8,2,15
0,0,0,1,2,1,1,5,13,14
1,1,1,0,3,2,3,5,7,17
0,0,0,3,1,0,5,7,5,20
2,0,1,0,1,0,4,3,12,15
1,0,0,0,1,1,4,7,8,10
0,0,0,3,0,4,5,7,9,13
1,0,0,3,4,3,3,7,5,10
0,0,0,3,6,1,3,4,8,8
0,0,0,4,6,2,5,9,10,10
0,0,0,2,0,5,8,7,4,19
0,0,0,1,0,4,8,5,9,11
0,0,0,1,2,3,3,11,8,19
0,0,1,2,4,6,8,4,14,15
1,0,0,1,4,4,6,7,12,21
0,1,2,2,1,2,8,8,17,15
0,1,0,2,0,3,5,6,11,22
0,0,0,3,1,2,8,3,8,12
1,1,1,2,3,3,2,10,11,12
0,0,0,4,1,2,2,10,8,12
0,0,0,1,0,4,5,9,12,16
0,0,0,2,7,1,4,7,13,16
0,0,1,3,2,2,9,6,7,18
0,0,0,2,2,2,6,9,10,14
0,0,0,1,4,3,7,6,10,20
0,0,1,3,3,7,1,12,8,22
0,0,1,3,4,6,5,15,13,21
0,0,1,2,2,6,9,14,13,18
0,0,0,1,3,8,6,16,20,26
1,0,0,0,2,9,7,12,11,17
1,0,1,3,6,15,11,17,10,24
0,0,0,3,4,3,3,11,18,23
1,0,0,2,4,6,3,10,10,19
0,0,0,1,6,3,9,11,20,19
0,0,1,3,1,8,13,13,11,27
2,0,0,4,4,2,7,10,27,31
0,0,1,6,6,13,11,19,21,27
1,1,1,2,6,7,12,16,15,35
0,1,2,1,3,6,6,18,24,31
1,0,2,0,4,6,8,25,23,30
0,0,1,3,3,7,13,13,24,35
1,0,1,0,5,4,8,30,23,40
2,0,1,4,2,6,18,23,26,35
1,1,0,4,5,9,13,25,33,38
1,0,2,3,4,11,23,19,28,54
1,0,0,3,2,12,14,28,30,38
0,0,1,2,6,9,14,26,21,34
0,1,2,3,8,6,17,27,37,49
2,0,0,4,3,13,19,24,25,44
1,1,3,4,6,8,18,17,25,41
1,0,0,4,4,9,23,30,28,49
1,0,2,4,6,7,16,32,43,59
1,0,1,3,6,14,29,40,30,64
2,0,0,8,2,13,19,28,33,60
2,1,0,4,7,10,16,29,35,43
2,1,1,5,8,6,17,34,33,40
2,1,2,3,5,13,28,37,40,69
1,3,5,1,8,8,24,36,42,72
2,1,0,3,7,15,20,25,35,48
2,0,1,1,4,10,20,33,49,60
0,1,0,2,4,10,16,32,30,68
1,0,2,2,8,8,17,33,39,49
0,0,1,0,3,9,19,38,41,42
1,1,1,2,8,16,13,43,36,79
3,1,1,5,6,9,25,14,35,60
1,1,1,5,5,8,18,25,47,55
0,0,0,3,5,9,27,31,42,75
0,0,0,6,5,7,17,30,23,57
1,0,0,1,4,16,17,29,34,54
1,0,2,5,7,10,15,25,31,68
