"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,2,1,2,1,3,1,6
0,0,1,4,2,0,1,3,3,3
0,0,0,1,1,1,4,2,1,3
0,0,0,0,0,3,1,2,2,5
0,0,0,1,1,3,1,3,3,7
0,0,0,1,0,0,2,2,3,8
1,0,2,2,0,1,2,5,8,16
0,0,1,0,0,1,0,3,5,11
0,0,1,1,0,2,3,1,4,5
0,0,0,2,1,0,3,2,4,7
2,0,1,2,2,2,3,4,3,3
0,0,0,1,0,1,1,2,1,3
0,0,0,1,2,1,0,1,1,4
0,0,0,1,1,2,1,2,1,5
1,0,0,2,0,2,1,4,5,7
0,0,0,1,0,1,2,2,3,7
0,0,0,0,2,3,2,6,5,5
0,0,0,1,1,1,1,2,5,4
0,1,0,1,0,3,3,3,2,5
0,0,0,2,0,2,3,1,4,8
0,0,0,2,1,1,2,2,2,5
0,0,0,1,1,1,1,4,4,6
0,0,1,0,2,0,2,4,7,4
1,0,0,1,0,1,1,2,4,3
1,0,2,0,2,0,0,6,2,3
0,0,0,2,2,1,4,2,3,5
1,0,0,2,3,3,6,2,6,3
0,0,0,2,0,1,4,3,3,6
0,0,0,4,2,0,2,4,5,12
0,0,0,2,5,2,1,2,3,4
0,0,1,1,1,3,0,3,5,5
0,0,0,2,1,0,4,4,7,10
0,0,0,3,2,3,3,8,10,9
0,0,0,6,3,3,2,4,10,11
0,0,0,3,1,2,2,9,4,6
1,0,0,4,0,3,4,4,8,15
0,0,0,1,3,2,5,7,5,10
0,0,0,1,1,3,5,5,4,13
0,0,0,0,2,3,2,4,8,17
1,0,1,4,3,1,6,8,2,15
0,0,0,1,2,1,1,5,14,13
1,1,1,0,3,3,3,5,6,16
0,0,0,3,1,0,5,7,6,21
1,0,1,0,1,0,4,4,12,15
1,0,0,0,1,1,5,7,8,10
0,0,0,3,0,4,5,7,9,14
1,0,0,3,4,3,4,7,5,10
0,0,0,4,6,1,3,4,8,6
0,0,0,4,6,2,5,9,10,10
0,0,0,2,0,5,8,7,3,18
0,0,0,1,0,4,8,5,9,11
0,0,0,1,3,3,3,11,7,19
0,0,1,2,4,6,8,5,14,15
1,0,0,1,4,4,5,7,12,21
0,1,2,2,1,2,8,8,18,15
0,1,0,2,0,3,5,6,11,22
0,0,0,3,1,2,8,3,8,12
1,1,1,2,3,3,2,10,11,11
0,0,0,4,1,2,2,11,9,12
0,0,0,1,0,3,5,9,12,15
0,0,0,2,7,1,4,6,13,15
0,0,2,3,2,2,8,6,7,19
0,0,0,2,2,2,6,9,10,14
0,0,0,1,5,3,9,6,10,20
