"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0498231,0.762023,0.000297966,0.000240534,0.000404368,0.000852198,0.00117076,0.00160136,0.0028269,0.00624117,0.0136397,0.0422225,9.98447e-05,0.612762,0.945056,1,58.843,0.420635,0.26632,27.4286,0.371201,63.4896,0.805502,181.736,0.87946,260.915,0.380861,296.045,0.528718,0.213763,0.401095,0.227957,0.435147
0.0491603,0.746049,0.000412651,0.000334692,0.000432531,0.000687562,0.00096344,0.00127118,0.00237433,0.00507677,0.011074,0.0343989,0.000141068,0.384794,0.98992,1,54.6136,0.36388,0.258003,28.8644,1.01052,61.3017,2.71297,176.611,1.89935,262.551,0.500242,297.774,2.07292,0.212639,0.429838,0.248534,0.518256
0.0578537,0.774059,0.00025024,0.000215959,0.000355635,0.000854236,0.00124612,0.00161317,0.00299198,0.00599629,0.0129663,0.0395784,9.82202e-05,0.586537,0.91848,1,71.025,0.34816,0.297839,28.0682,0.80328,65.0641,1.09264,180.973,0.729489,260.576,0.544813,297.765,3.41279,0.204317,0.392751,0.232818,0.447221
0.0527187,0.798642,0.000304472,0.00027558,0.000491539,0.000975042,0.00127514,0.00177423,0.00338576,0.00666327,0.0144506,0.0445662,0.000112308,0.541754,0.906943,1,68.0541,0.374604,0.272816,27.4928,0.508144,64.6723,0.962223,177.921,0.820045,259.42,0.797791,297.674,0.662228,0.197549,0.399481,0.221876,0.432898
0.0533475,0.726242,0.000252339,0.000188255,0.000331756,0.000876897,0.00120447,0.00153523,0.00291855,0.00586864,0.0128834,0.0395466,9.88252e-05,0.596189,0.90685,1,70.3815,0.356168,0.268153,28.6544,1.42963,61.9074,0.850732,178.204,3.31416,260.457,5.01237,297.013,3.71601,0.209022,0.39503,0.234237,0.421986
0.0535017,0.732908,0.000316865,0.000261052,0.000470022,0.000823328,0.00112073,0.00161532,0.00295368,0.00546727,0.0117972,0.0379635,0.000136342,0.453147,0.894534,1,53.0011,0.328901,0.258578,28.4774,1.30091,64.9477,0.979185,177.484,0.532399,260.721,0.304354,297.748,0.381583,0.206968,0.412241,0.218588,0.45821
0.0663625,0.693966,0.000450052,0.000435281,0.000600695,0.000784906,0.00105429,0.00147628,0.00274371,0.00569916,0.0122615,0.0360305,0.00011008,0.397053,0.965002,1,54.929,0.283983,0.317777,28.0853,0.729899,63.3036,1.34459,180.874,1.73512,259.268,1.45591,296.904,1.91279,0.200183,0.399723,0.242732,0.470746
0.0574306,0.707185,0.00040127,0.000374692,0.000675797,0.00084149,0.00109958,0.00154033,0.00270207,0.00579961,0.0124203,0.0373653,0.000134963,0.388949,0.976536,1,49.5467,0.284994,0.283298,28.3258,2.08332,62.4319,1.65055,181.501,0.430171,257.438,1.91492,297.635,2.9736,0.202494,0.413648,0.246622,0.435839
0.0547929,0.693623,0.000333427,0.000264929,0.000497114,0.000674014,0.000968602,0.00123948,0.00235569,0.00454477,0.00998772,0.030482,0.000138877,0.37739,0.913436,1,55.2718,0.345224,0.258641,28.3802,0.44439,64.251,1.56965,180.42,3.4864,260.511,0.367949,299.588,0.486346,0.222054,0.41994,0.255318,0.508639
0.0455686,0.752699,0.000369384,0.000275214,0.000506122,0.000705127,0.000924382,0.0012868,0.00232661,0.00519095,0.0110604,0.034077,0.000164939,0.406804,0.990397,1,51.2444,0.367681,0.241316,28.5347,4.11606,62.3625,1.19873,179.082,0.392804,259.122,0.650109,296.67,2.73093,0.214337,0.438225,0.249664,0.471739
0.0571319,0.671987,0.000403334,0.000369429,0.000601725,0.000699613,0.00097445,0.00127791,0.00239717,0.00490721,0.0108314,0.0334321,0.000134739,0.335599,0.991831,1,62.135,0.302191,0.278479,28.4599,0.434867,63.6814,0.300211,181.263,0.789036,259.861,0.375108,300.119,0.609631,0.216985,0.421019,0.2591,0.543748
0.0569002,0.729174,0.000392314,0.000370613,0.000589666,0.000726488,0.000956351,0.00134349,0.00245178,0.00530261,0.0112303,0.0335824,0.000145032,0.388012,0.993121,1,55.1406,0.295858,0.287623,28.49,1.13142,65.5607,1.78124,180.179,1.74485,261.116,0.667381,294.623,2.32957,0.207491,0.412769,0.243666,0.458253
