"AgeClass","Positive","SampleSize","Day","Frac","Lower","Upper"
"[1,10)",12,404,93,0.0297029702970297,0.0163377789496604,0.0497560749201099
"[10,20)",8,377,93,0.0212201591511936,0.0100820029641712,0.0396386376567149
"[20,40)",11,377,93,0.0291777188328912,0.0155989536172118,0.0499269934878904
"[40,60)",15,479,93,0.0313152400835073,0.018418559821951,0.0498408835841692
"[60,Inf)",19,664,93,0.0286144578313253,0.0179024926643928,0.0434166504703751
